siteID,date,plotID,subplotID,nestedSubplotID,tagID,stemDiameter,measurementHeight,canopyPosition,maxCanopyDiameter,ninetyCanopyDiameter,VD1height,VD2height,stemStatus,shrubShape,maxBaseCanopyDiameter,ninetyBaseCanopyDiameter,measuredBy,recordedBy,remarks
SOAP,20151021,SOAP_060,39,,2955b,10.6,130,,,,,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2955c,10.2,130,,,,,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2955d,11,130,,,,,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2947,,,3,4.5,4.3,4.9,,1,icn,30,27,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2948,,,4,2.5,1.8,2.5,,1,icn,20,10,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2949,,,5,1.4,1,1.8,,1,hsp,,,lwade@field-ops.org,emccarthy@field-ops.org,proofed and no errors
SOAP,20151021,SOAP_060,39,,2950,,,4,2,1.1,2.3,,1,icn,13,6,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2952,,,3,2.4,2.4,4.1,,1,icn,26,20,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2953,,,5,2,0.8,1.9,,1,icn,10,9,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2954,,,5,2,1,1.9,,1,icn,9,6,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2956,1,130,5,,,0.6,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2957,,,4,,,2.4,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2958,,,4,1.2,0.9,2.5,,1,icn,6,5,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2959,,,5,,,0.9,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2960,,,5,0.7,0.6,1.2,,1,icn,7,5,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,39,,2961,,,5,,,1.4,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,proofed and no errors
SOAP,20151021,SOAP_060,39,,2962,,,5,,,1.6,,1,,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,23,,3184,,,5,1.6,1.4,1.5,,1,icn,12,9,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20151021,SOAP_060,23,,3185,,,4,1.5,1.3,1,-1.5,2,cyl,,,lwade@field-ops.org,emccarthy@field-ops.org,
SOAP,20150910,SOAP_043,23,4,2545,22.1,130,3,,,,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2546,50,130,5,,,,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,dead and hollow charred shell from fire
SOAP,20150910,SOAP_043,23,4,2547,,,5,0.7,0.6,0.5,,1,cyl,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2548,6,130,5,,,2.2,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2549,,,5,0.7,0.5,0.4,,1,cyl,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2550,,,5,,,1.2,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2551,10.7,130,4,,,,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,proofed and no errors
SOAP,20150910,SOAP_043,23,4,2552,11.5,130,4,,,,,6,,,,kzias@field-ops.org,tedgarian@neoninc.org,fire damaged
SOAP,20150910,SOAP_043,23,4,2553,3.1,130,4,,,3,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2554,13.9,130,3,,,,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2555,,,5,1.3,0.8,1.7,,1,icn,7,5,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2556,18.6,130,3,,,,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,3,2557,13.5,130,4,,,,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2558,9.7,130,3,,,3.1,,2,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,4,2559,10.4,130,3,,,,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20150910,SOAP_043,23,2,2560,78,130,2,,,,,1,,,,kzias@field-ops.org,tedgarian@neoninc.org,
SOAP,20151110,SOAP_049,39,3,3597,,,5,,,1,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,proofed and no errors
SOAP,20151110,SOAP_049,39,3,3598,8.5,130,4,,,4.7,-1.1,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151110,SOAP_049,39,3,3599,9.4,130,4,,,2.6,-1,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151110,SOAP_049,39,3,3600,,,4,3,2.3,2.3,-1,2,cyl,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,,3601,12,130,4,,,,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3602,7.3,130,4,,,3.1,-1.1,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3603,,,4,2.8,2.6,1,-1.2,2,icn,18,12,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,,3604,11.3,130,4,,,,,6,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3605,,,4,4.2,2.7,2.4,-1.3,2,hsp,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,,3606,67,130,2,,,,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,,3607,51.9,130,3,,,,,1,,,,tedgarian@neoninc.org,krian@neoninc.org,proofed and no errors
SOAP,20151116,SOAP_049,39,3,3608,5.4,130,4,,,2,-1.4,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3609,6.1,130,4,,,2.3,-1.4,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3610,4.7,130,4,,,1.3,-1.3,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3611,4.3,130,4,,,2.4,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,3,3612,5.2,130,4,,,2.1,-1.3,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,1,3613,,,5,,,1.1,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151116,SOAP_049,39,,3614,11.6,120,4,,,,,2,,,,tedgarian@neoninc.org,krian@neoninc.org,
SOAP,20151105,SOAP_047,23,4,3271,,,5,1.3,1.3,1.5,,1,icn,24,24,jbolis@neoninc.org,krian@neoninc.org,
SOAP,20151105,SOAP_047,23,4,3272,,,5,1,0.4,1,,2,icn,10,10,jbolis@neoninc.org,krian@neoninc.org,
SOAP,20151105,SOAP_047,23,,3273,30.4,130,3,,,,,2,,,,jbolis@neoninc.org,krian@neoninc.org,proofed and no errors
SOAP,20151105,SOAP_047,23,4,3274,,,5,,,0.4,,2,,,,jbolis@neoninc.org,krian@neoninc.org,
